numero,mes,categoria_csv,titulo,estrategia_ctr,mv_categoria_primaria,mv_categoria_secundaria,mv_categoria_terciaria,observacao_mapeamento,triagem_status,triagem_observacao
06,Abril,Software & Tech,Software-defined vehicle não é tendência — é o novo padrão. E as montadoras atrasadas vão pagar caro,Afirmação direta + ameaça. Gera engajamento emocional e evita síntese fácil.,Novidades Automotivas,Dicas e Curiosidades,Gestao e Operacao Automotiva,Concentrar em Novidades Automotivas para tecnologia embarcada e movimento de montadoras; usar Dicas e Curiosidades para explicacoes de uso/impacto; usar Gestao e Operacao Automotiva quando o foco for impacto operacional no negocio automotivo.,entra-adaptacao,"Tema aproveitável, mas precisa tradução editorial para intenção real do usuário ou do operador automotivo do MV."
08,Abril,Software & Tech,Conectividade veicular em 2026: quando o carro sabe mais sobre você do que você imagina,Provoca desconforto produtivo. Funciona bem para leitores de negócios e consumidores.,Novidades Automotivas,Dicas e Curiosidades,Gestao e Operacao Automotiva,Concentrar em Novidades Automotivas para tecnologia embarcada e movimento de montadoras; usar Dicas e Curiosidades para explicacoes de uso/impacto; usar Gestao e Operacao Automotiva quando o foco for impacto operacional no negocio automotivo.,entra-adaptacao,"Tema aproveitável, mas precisa tradução editorial para intenção real do usuário ou do operador automotivo do MV."
12,Abril,Mobilidade,Mobilidade urbana em 2026: por que a disputa não é mais entre carro e transporte público,Reframe de narrativa conhecida. Instiga quem já tem opinião formada.,Dicas e Curiosidades,Novidades Automotivas,Seguro e Protecao Veicular,"Usar com criterio. Vai melhor quando houver ponte clara com decisao automotiva, comportamento do consumidor ou impacto regulatorio/mercado no Brasil.",entra-adaptacao,"Tema pode render tráfego, mas pede adaptação para não soar distante, genérico ou excessivamente global/tendencial."
28,Abril,Software & Tech,O carro que aprende com você: como os dados de comportamento estão moldando o próximo veículo que você vai comprar,Personalização + implicação futura. Combina IA e experiência do usuário de forma tangível.,Novidades Automotivas,Dicas e Curiosidades,Gestao e Operacao Automotiva,Concentrar em Novidades Automotivas para tecnologia embarcada e movimento de montadoras; usar Dicas e Curiosidades para explicacoes de uso/impacto; usar Gestao e Operacao Automotiva quando o foco for impacto operacional no negocio automotivo.,entra-adaptacao,"Tema aproveitável, mas precisa tradução editorial para intenção real do usuário ou do operador automotivo do MV."
29,Abril,Software & Tech,Cibersegurança veicular: o risco que cresce junto com a conectividade — e que poucos fabricantes falam abertamente,Poucos falam abertamente aciona o instinto de acesso privilegiado. Alta percepção de exclusividade.,Novidades Automotivas,Dicas e Curiosidades,Gestao e Operacao Automotiva,Concentrar em Novidades Automotivas para tecnologia embarcada e movimento de montadoras; usar Dicas e Curiosidades para explicacoes de uso/impacto; usar Gestao e Operacao Automotiva quando o foco for impacto operacional no negocio automotivo.,entra-adaptacao,"Tema aproveitável, mas precisa tradução editorial para intenção real do usuário ou do operador automotivo do MV."
34,Abril,Mobilidade,Frota corporativa em transformação: como as empresas estão repensando a política de veículos para 2026,Público B2B com dor real. Gestores de frota buscam exatamente esse conteúdo.,Dicas e Curiosidades,Novidades Automotivas,Seguro e Protecao Veicular,"Usar com criterio. Vai melhor quando houver ponte clara com decisao automotiva, comportamento do consumidor ou impacto regulatorio/mercado no Brasil.",entra-adaptacao,"Tema pode render tráfego, mas pede adaptação para não soar distante, genérico ou excessivamente global/tendencial."
39,Abril,IA & Dados,Como a inteligência artificial está mudando o processo de desenvolvimento de veículos — do design à homologação,Jornada completa em um título. Amplia o público sem perder profundidade.,Gestao e Operacao Automotiva,Marketing e Vendas para Negocios,Novidades Automotivas,"Nao tratar como categoria publica propria por enquanto. Encaixar conforme o uso pratico: operacao, vendas ou novidade de mercado.",entra-adaptacao,"Tema aproveitável, mas precisa tradução editorial para intenção real do usuário ou do operador automotivo do MV."
40,Abril,IA & Dados,"Precificação dinâmica, seguro por comportamento e manutenção preditiva: o novo ecossistema de dados do carro conectado",Três aplicações concretas em série. Soa como lista exclusiva — difícil de resumir.,Gestao e Operacao Automotiva,Marketing e Vendas para Negocios,Novidades Automotivas,"Nao tratar como categoria publica propria por enquanto. Encaixar conforme o uso pratico: operacao, vendas ou novidade de mercado.",entra-adaptacao,"Tema aproveitável, mas precisa tradução editorial para intenção real do usuário ou do operador automotivo do MV."
51,Maio,Software & Tech,O cockpit digital que substituiu o painel analógico — e por que metade dos motoristas ainda prefere o antigo,Paradoxo entre inovação e comportamento. Gera debate nos comentários.,Novidades Automotivas,Dicas e Curiosidades,Gestao e Operacao Automotiva,Concentrar em Novidades Automotivas para tecnologia embarcada e movimento de montadoras; usar Dicas e Curiosidades para explicacoes de uso/impacto; usar Gestao e Operacao Automotiva quando o foco for impacto operacional no negocio automotivo.,entra-adaptacao,"Tema pode render tráfego, mas pede adaptação para não soar distante, genérico ou excessivamente global/tendencial."
52,Maio,Software & Tech,De fabricante de carros a empresa de tecnologia: a transformação que as montadoras ainda não completaram,Ainda não completaram cria tensão narrativa. Resistente ao AI Overview.,Novidades Automotivas,Dicas e Curiosidades,Gestao e Operacao Automotiva,Concentrar em Novidades Automotivas para tecnologia embarcada e movimento de montadoras; usar Dicas e Curiosidades para explicacoes de uso/impacto; usar Gestao e Operacao Automotiva quando o foco for impacto operacional no negocio automotivo.,entra-adaptacao,"Tema aproveitável, mas precisa tradução editorial para intenção real do usuário ou do operador automotivo do MV."
