numero,mes,categoria_csv,titulo,estrategia_ctr,mv_categoria_primaria,mv_categoria_secundaria,mv_categoria_terciaria,observacao_mapeamento,triagem_status,triagem_observacao
14,Abril,Mobilidade,Veículo autônomo no Brasil: realidade ou ficção? O mapa do que já existe e do que ainda falta,Mapa do que falta promete conteúdo original e estruturado. Resistente a resumo.,Dicas e Curiosidades,Novidades Automotivas,Seguro e Protecao Veicular,"Usar com criterio. Vai melhor quando houver ponte clara com decisao automotiva, comportamento do consumidor ou impacto regulatorio/mercado no Brasil.",nao-prioritario,"Tema interessante, mas distante da utilidade editorial imediata do MV ou dependente de maturidade de mercado ainda irregular no Brasil."
15,Abril,Negócios,As montadoras que vão liderar 2030 já estão tomando decisões agora — e elas não são as que você espera,Surpresa implícita + urgência. Funciona para executivos e investidores.,Marketing e Vendas para Negocios,Gestao de Clientes e CRM,Gestao e Operacao Automotiva,"Categoria-fonte boa para frente B2B. Traduzir para Marketing e Vendas, CRM ou Gestao e Operacao conforme a dor principal do operador automotivo.",nao-prioritario,"Tema interessante, mas distante da utilidade editorial imediata do MV ou dependente de maturidade de mercado ainda irregular no Brasil."
30,Abril,Software & Tech,"OTA updates no carro: conveniência para o dono, novo modelo de receita para a montadora",Dois ângulos em um título. Atrai consumidor e executivo ao mesmo tempo.,Novidades Automotivas,Dicas e Curiosidades,Gestao e Operacao Automotiva,Concentrar em Novidades Automotivas para tecnologia embarcada e movimento de montadoras; usar Dicas e Curiosidades para explicacoes de uso/impacto; usar Gestao e Operacao Automotiva quando o foco for impacto operacional no negocio automotivo.,nao-prioritario,"Tema interessante, mas distante da utilidade editorial imediata do MV ou dependente de maturidade de mercado ainda irregular no Brasil."
35,Abril,Mobilidade,"MaaS, micromobilidade e o carro particular: como essas três forças vão coexistir nas cidades brasileiras",Três conceitos + contexto local. Difícil de sintetizar sem perder o argumento central.,Dicas e Curiosidades,Novidades Automotivas,Seguro e Protecao Veicular,"Usar com criterio. Vai melhor quando houver ponte clara com decisao automotiva, comportamento do consumidor ou impacto regulatorio/mercado no Brasil.",nao-prioritario,"Tema interessante, mas distante da utilidade editorial imediata do MV ou dependente de maturidade de mercado ainda irregular no Brasil."
49,Maio,Eletrificação,Hidrogênio vs. elétrico a bateria: a disputa que vai dividir a indústria automotiva pelos próximos 10 anos,Confronto de tecnologias com prazo longo. Difícil de resumir sem tomar partido.,Novidades Automotivas,Dicas e Curiosidades,Concessionarias e Revendas,"Usar Novidades Automotivas quando a pauta for mercado, lancamento, infraestrutura ou mudanca setorial; usar Dicas e Curiosidades quando o foco for explicacao ao leitor comum; usar Concessionarias e Revendas quando a pauta afetar compra, revenda ou adocao comercial.",nao-prioritario,"Tema interessante, mas distante da utilidade editorial imediata do MV ou dependente de maturidade de mercado ainda irregular no Brasil."
68,Maio,Negócios,As 5 decisões estratégicas que vão separar as montadoras vencedoras das que vão perder relevância até 2030,Número + prazo + stakes altos. Formato de lista com profundidade editorial.,Marketing e Vendas para Negocios,Gestao de Clientes e CRM,Gestao e Operacao Automotiva,"Categoria-fonte boa para frente B2B. Traduzir para Marketing e Vendas, CRM ou Gestao e Operacao conforme a dor principal do operador automotivo.",nao-prioritario,"Tema interessante, mas distante da utilidade editorial imediata do MV ou dependente de maturidade de mercado ainda irregular no Brasil."
75,Maio,IA & Dados,Gêmeo digital do veículo: como a simulação virtual está encurtando o tempo de desenvolvimento de novos modelos,Conceito técnico com impacto de negócio. Diferenciado e resistente a resumo.,Gestao e Operacao Automotiva,Marketing e Vendas para Negocios,Novidades Automotivas,"Nao tratar como categoria publica propria por enquanto. Encaixar conforme o uso pratico: operacao, vendas ou novidade de mercado.",nao-prioritario,"Tema interessante, mas distante da utilidade editorial imediata do MV ou dependente de maturidade de mercado ainda irregular no Brasil."
100,Junho,Aftermarket,Retrofit elétrico no Brasil: transformar um carro a combustão em elétrico virou negócio ou ainda é projeto de entusiasta?,"Pergunta de mercado real. Público de entusiastas, empreendedores e mecânicos especializados.",Autopecas e Acessorios,Oficinas e Centros Automotivos,Gestao e Operacao Automotiva,"Melhor encaixe estrutural no MV. Direcionar para Autopecas e Acessorios quando a pauta orbitar componentes e distribuicao; para Oficinas e Centros Automotivos quando envolver servico, diagnostico ou adaptacao tecnica; para Gestao e Operacao quando o foco for estrategia do setor.",nao-prioritario,"Tema interessante, mas distante da utilidade editorial imediata do MV ou dependente de maturidade de mercado ainda irregular no Brasil."
104,Junho,Mobilidade,Mobilidade como serviço no interior do Brasil — por que o MaaS ainda não saiu das capitais e o que falta para isso mudar,Recorte geográfico específico. Público de cidades médias e gestores públicos.,Dicas e Curiosidades,Novidades Automotivas,Seguro e Protecao Veicular,"Usar com criterio. Vai melhor quando houver ponte clara com decisao automotiva, comportamento do consumidor ou impacto regulatorio/mercado no Brasil.",nao-prioritario,"Tema interessante, mas distante da utilidade editorial imediata do MV ou dependente de maturidade de mercado ainda irregular no Brasil."
124,Junho,Regulação & ESG,Recall silencioso via OTA: quando a montadora corrige o carro sem avisar o dono — e o que a regulação brasileira ainda não diz sobre isso,Assimetria de informação + vácuo regulatório. Provoca o leitor a questionar o que não sabia.,"IPVA, Impostos e Documentacao",Novidades Automotivas,Gestao e Operacao Automotiva,"Usar IPVA/Documentacao quando houver regra, imposto, exigencia ou impacto burocratico; usar Novidades quando for mudanca setorial; usar Gestao e Operacao para compliance e pressao operacional sobre negocios.",nao-prioritario,"Tema interessante, mas distante da utilidade editorial imediata do MV ou dependente de maturidade de mercado ainda irregular no Brasil."
