numero,mes,categoria_csv,titulo,estrategia_ctr,mv_categoria_primaria,mv_categoria_secundaria,mv_categoria_terciaria,observacao_mapeamento,triagem_status,triagem_observacao
01,Abril,Eletrificação,O carro elétrico que o Brasil ainda não comprou — e o que vai mudar isso em 2025,Tensão + curiosidade + promessa de resposta. Evita perguntas diretas que o Gemini resume.,Novidades Automotivas,Dicas e Curiosidades,Concessionarias e Revendas,"Usar Novidades Automotivas quando a pauta for mercado, lancamento, infraestrutura ou mudanca setorial; usar Dicas e Curiosidades quando o foco for explicacao ao leitor comum; usar Concessionarias e Revendas quando a pauta afetar compra, revenda ou adocao comercial.",entra-ja,"Título com recorte brasileiro, dor prática, consumo, mercado ou impacto comercial mais encaixável no ecossistema MV."
02,Abril,Eletrificação,Híbridos flex: por que essa tecnologia pode ser a transição mais inteligente para o mercado brasileiro,Argumento controverso + contexto local. Difícil de resumir sem perder o raciocínio.,Novidades Automotivas,Dicas e Curiosidades,Concessionarias e Revendas,"Usar Novidades Automotivas quando a pauta for mercado, lancamento, infraestrutura ou mudanca setorial; usar Dicas e Curiosidades quando o foco for explicacao ao leitor comum; usar Concessionarias e Revendas quando a pauta afetar compra, revenda ou adocao comercial.",entra-ja,"Título com recorte brasileiro, dor prática, consumo, mercado ou impacto comercial mais encaixável no ecossistema MV."
03,Abril,Eletrificação,Recarga em 15 minutos muda tudo — menos para quem ainda não tem onde recarregar,Afirmação + contraponto embutido. Gera curiosidade sem ser clickbait óbvio.,Novidades Automotivas,Dicas e Curiosidades,Concessionarias e Revendas,"Usar Novidades Automotivas quando a pauta for mercado, lancamento, infraestrutura ou mudanca setorial; usar Dicas e Curiosidades quando o foco for explicacao ao leitor comum; usar Concessionarias e Revendas quando a pauta afetar compra, revenda ou adocao comercial.",entra-ja,"Título com recorte brasileiro, dor prática, consumo, mercado ou impacto comercial mais encaixável no ecossistema MV."
04,Abril,Eletrificação,Bateria sólida em 2026: o que isso significa de verdade para quem compra carro no Brasil,De verdade posiciona o artigo como tradutor de tendência — resistente ao resumo genérico.,Novidades Automotivas,Dicas e Curiosidades,Concessionarias e Revendas,"Usar Novidades Automotivas quando a pauta for mercado, lancamento, infraestrutura ou mudanca setorial; usar Dicas e Curiosidades quando o foco for explicacao ao leitor comum; usar Concessionarias e Revendas quando a pauta afetar compra, revenda ou adocao comercial.",entra-ja,"Título com recorte brasileiro, dor prática, consumo, mercado ou impacto comercial mais encaixável no ecossistema MV."
05,Abril,Software & Tech,O carro que atualiza como o celular — e por que isso vai redefinir o valor de revenda,Analogia familiar + consequência financeira concreta. Alta intenção de leitura.,Novidades Automotivas,Dicas e Curiosidades,Gestao e Operacao Automotiva,Concentrar em Novidades Automotivas para tecnologia embarcada e movimento de montadoras; usar Dicas e Curiosidades para explicacoes de uso/impacto; usar Gestao e Operacao Automotiva quando o foco for impacto operacional no negocio automotivo.,entra-ja,"Título com recorte brasileiro, dor prática, consumo, mercado ou impacto comercial mais encaixável no ecossistema MV."
07,Abril,Software & Tech,ADAS no Brasil: o que os sistemas de assistência à condução ainda não conseguem fazer nas nossas estradas,Contexto local específico. O Gemini não tem esse ângulo — precisa do artigo completo.,Novidades Automotivas,Dicas e Curiosidades,Gestao e Operacao Automotiva,Concentrar em Novidades Automotivas para tecnologia embarcada e movimento de montadoras; usar Dicas e Curiosidades para explicacoes de uso/impacto; usar Gestao e Operacao Automotiva quando o foco for impacto operacional no negocio automotivo.,entra-ja,"Título com recorte brasileiro, dor prática, consumo, mercado ou impacto comercial mais encaixável no ecossistema MV."
09,Abril,Aftermarket,O aftermarket que sobrevive à eletrificação — e o que precisa mudar agora para não ficar para trás,Urgência + sobrevivência. Apela para quem está no setor e sente a pressão.,Autopecas e Acessorios,Oficinas e Centros Automotivos,Gestao e Operacao Automotiva,"Melhor encaixe estrutural no MV. Direcionar para Autopecas e Acessorios quando a pauta orbitar componentes e distribuicao; para Oficinas e Centros Automotivos quando envolver servico, diagnostico ou adaptacao tecnica; para Gestao e Operacao quando o foco for estrategia do setor.",entra-ja,"Tema com ponte mais direta para utilidade editorial, busca qualificada ou valor comercial do Mercado Veiculos."
10,Abril,Aftermarket,"Diagnóstico por IA, peças sob demanda e assinatura de manutenção: o novo negócio do aftermarket automotivo",Três ideias concretas em série. Difícil de resumir sem perder o conjunto.,Autopecas e Acessorios,Oficinas e Centros Automotivos,Gestao e Operacao Automotiva,"Melhor encaixe estrutural no MV. Direcionar para Autopecas e Acessorios quando a pauta orbitar componentes e distribuicao; para Oficinas e Centros Automotivos quando envolver servico, diagnostico ou adaptacao tecnica; para Gestao e Operacao quando o foco for estrategia do setor.",entra-ja,"Tema com ponte mais direta para utilidade editorial, busca qualificada ou valor comercial do Mercado Veiculos."
11,Abril,Aftermarket,A oficina mecânica tradicional tem futuro? O que os dados de 2025 dizem sobre a sobrevivência do setor,Pergunta que o leitor do setor quer responder. Âncora temporal aumenta credibilidade.,Autopecas e Acessorios,Oficinas e Centros Automotivos,Gestao e Operacao Automotiva,"Melhor encaixe estrutural no MV. Direcionar para Autopecas e Acessorios quando a pauta orbitar componentes e distribuicao; para Oficinas e Centros Automotivos quando envolver servico, diagnostico ou adaptacao tecnica; para Gestao e Operacao quando o foco for estrategia do setor.",entra-ja,"Tema com ponte mais direta para utilidade editorial, busca qualificada ou valor comercial do Mercado Veiculos."
13,Abril,Mobilidade,"Carro por assinatura, por aplicativo ou para sempre? Como o brasileiro vai se relacionar com o veículo nos próximos anos",Múltiplas opções geram identificação. Longo prazo aumenta relevância editorial.,Dicas e Curiosidades,Novidades Automotivas,Seguro e Protecao Veicular,"Usar com criterio. Vai melhor quando houver ponte clara com decisao automotiva, comportamento do consumidor ou impacto regulatorio/mercado no Brasil.",entra-ja,"Título com recorte brasileiro, dor prática, consumo, mercado ou impacto comercial mais encaixável no ecossistema MV."
