numero,mes,categoria_csv,titulo,estrategia_ctr,mv_categoria_primaria,mv_categoria_secundaria,mv_categoria_terciaria,observacao_mapeamento
01,Abril,Eletrificação,O carro elétrico que o Brasil ainda não comprou — e o que vai mudar isso em 2025,Tensão + curiosidade + promessa de resposta. Evita perguntas diretas que o Gemini resume.,Novidades Automotivas,Dicas e Curiosidades,Concessionarias e Revendas,"Usar Novidades Automotivas quando a pauta for mercado, lancamento, infraestrutura ou mudanca setorial; usar Dicas e Curiosidades quando o foco for explicacao ao leitor comum; usar Concessionarias e Revendas quando a pauta afetar compra, revenda ou adocao comercial."
02,Abril,Eletrificação,Híbridos flex: por que essa tecnologia pode ser a transição mais inteligente para o mercado brasileiro,Argumento controverso + contexto local. Difícil de resumir sem perder o raciocínio.,Novidades Automotivas,Dicas e Curiosidades,Concessionarias e Revendas,"Usar Novidades Automotivas quando a pauta for mercado, lancamento, infraestrutura ou mudanca setorial; usar Dicas e Curiosidades quando o foco for explicacao ao leitor comum; usar Concessionarias e Revendas quando a pauta afetar compra, revenda ou adocao comercial."
03,Abril,Eletrificação,Recarga em 15 minutos muda tudo — menos para quem ainda não tem onde recarregar,Afirmação + contraponto embutido. Gera curiosidade sem ser clickbait óbvio.,Novidades Automotivas,Dicas e Curiosidades,Concessionarias e Revendas,"Usar Novidades Automotivas quando a pauta for mercado, lancamento, infraestrutura ou mudanca setorial; usar Dicas e Curiosidades quando o foco for explicacao ao leitor comum; usar Concessionarias e Revendas quando a pauta afetar compra, revenda ou adocao comercial."
04,Abril,Eletrificação,Bateria sólida em 2026: o que isso significa de verdade para quem compra carro no Brasil,De verdade posiciona o artigo como tradutor de tendência — resistente ao resumo genérico.,Novidades Automotivas,Dicas e Curiosidades,Concessionarias e Revendas,"Usar Novidades Automotivas quando a pauta for mercado, lancamento, infraestrutura ou mudanca setorial; usar Dicas e Curiosidades quando o foco for explicacao ao leitor comum; usar Concessionarias e Revendas quando a pauta afetar compra, revenda ou adocao comercial."
05,Abril,Software & Tech,O carro que atualiza como o celular — e por que isso vai redefinir o valor de revenda,Analogia familiar + consequência financeira concreta. Alta intenção de leitura.,Novidades Automotivas,Dicas e Curiosidades,Gestao e Operacao Automotiva,Concentrar em Novidades Automotivas para tecnologia embarcada e movimento de montadoras; usar Dicas e Curiosidades para explicacoes de uso/impacto; usar Gestao e Operacao Automotiva quando o foco for impacto operacional no negocio automotivo.
06,Abril,Software & Tech,Software-defined vehicle não é tendência — é o novo padrão. E as montadoras atrasadas vão pagar caro,Afirmação direta + ameaça. Gera engajamento emocional e evita síntese fácil.,Novidades Automotivas,Dicas e Curiosidades,Gestao e Operacao Automotiva,Concentrar em Novidades Automotivas para tecnologia embarcada e movimento de montadoras; usar Dicas e Curiosidades para explicacoes de uso/impacto; usar Gestao e Operacao Automotiva quando o foco for impacto operacional no negocio automotivo.
07,Abril,Software & Tech,ADAS no Brasil: o que os sistemas de assistência à condução ainda não conseguem fazer nas nossas estradas,Contexto local específico. O Gemini não tem esse ângulo — precisa do artigo completo.,Novidades Automotivas,Dicas e Curiosidades,Gestao e Operacao Automotiva,Concentrar em Novidades Automotivas para tecnologia embarcada e movimento de montadoras; usar Dicas e Curiosidades para explicacoes de uso/impacto; usar Gestao e Operacao Automotiva quando o foco for impacto operacional no negocio automotivo.
08,Abril,Software & Tech,Conectividade veicular em 2026: quando o carro sabe mais sobre você do que você imagina,Provoca desconforto produtivo. Funciona bem para leitores de negócios e consumidores.,Novidades Automotivas,Dicas e Curiosidades,Gestao e Operacao Automotiva,Concentrar em Novidades Automotivas para tecnologia embarcada e movimento de montadoras; usar Dicas e Curiosidades para explicacoes de uso/impacto; usar Gestao e Operacao Automotiva quando o foco for impacto operacional no negocio automotivo.
09,Abril,Aftermarket,O aftermarket que sobrevive à eletrificação — e o que precisa mudar agora para não ficar para trás,Urgência + sobrevivência. Apela para quem está no setor e sente a pressão.,Autopecas e Acessorios,Oficinas e Centros Automotivos,Gestao e Operacao Automotiva,"Melhor encaixe estrutural no MV. Direcionar para Autopecas e Acessorios quando a pauta orbitar componentes e distribuicao; para Oficinas e Centros Automotivos quando envolver servico, diagnostico ou adaptacao tecnica; para Gestao e Operacao quando o foco for estrategia do setor."
10,Abril,Aftermarket,"Diagnóstico por IA, peças sob demanda e assinatura de manutenção: o novo negócio do aftermarket automotivo",Três ideias concretas em série. Difícil de resumir sem perder o conjunto.,Autopecas e Acessorios,Oficinas e Centros Automotivos,Gestao e Operacao Automotiva,"Melhor encaixe estrutural no MV. Direcionar para Autopecas e Acessorios quando a pauta orbitar componentes e distribuicao; para Oficinas e Centros Automotivos quando envolver servico, diagnostico ou adaptacao tecnica; para Gestao e Operacao quando o foco for estrategia do setor."
